티커,종목명,시장,타깃그룹,Sector,Industry,종가,시가총액,PBR,PER,ROE,BPS,DIV
900290,GRT,KOSDAQ,일반,기타 금융업,"광학필름, 포장필름",3405.0,315819000000.0,0.25598,3.63,7.059184140969163,13301.820454723025,1.711
070960,모나용평,KOSPI,일반,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",1909.0,91886000000.0,0.2564,,-12.020848611838659,7445.397815912636,3.667
017940,E1,KOSPI,일반,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",95500.0,655130000000.0,0.25648,3.77,6.797122848167539,372348.7211478478,4.764
000050,경방,KOSPI,일반,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",8050.0,220692000000.0,0.25659,4.22,6.084848571428571,31373.00752172727,1.988
013890,지누스,KOSPI,일반,가구 제조업,매트리스 및 가구제품,7500.0,164443000000.0,0.25668,,-13.816228800000003,29219.261337073396,1.2
090410,덕신이피씨,KOSDAQ,일반,"구조용 금속제품, 탱크 및 증기발생기 제조업",일체형 데크플레이트 등,3505.0,32304000000.0,0.25843,,-0.4128981455064194,13562.666873041057,2.853
460860,동국제강,KOSPI,일반,1차 철강 제조업,"봉강,형강,후판,냉연강판,칼라강판",10250.0,508482000000.0,0.25845,35.22,0.7337458536585366,39659.50860901528,3.902
013570,디와이,KOSPI,일반,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",4110.0,108173000000.0,0.25886,4.8,5.397640389294404,15877.308197481265,4.136
007210,벽산,KOSPI,일반,기타 비금속 광물제품 제조업,"단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등",1438.0,93987000000.0,0.25927,6.75,3.8403692628650905,5546.341651560149,2.086
091340,S&K폴리텍,KOSDAQ,일반,전자부품 제조업,고밀도폴리우레탄폼시트,2515.0,29434000000.0,0.25993,3.26,7.968430616302187,9675.68191436156,9.94
003480,한진중공업홀딩스,KOSPI,일반,연료용 가스 제조 및 배관공급업,지주회사,4690.0,138494000000.0,0.26061,2.07,12.613746268656717,17996.239591727102,2.559
000860,강남제비스코,KOSPI,일반,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",12490.0,162370000000.0,0.26137,,-0.3934152121697358,47786.66258560661,2.002
267290,경동도시가스,KOSPI,일반,연료용 가스 제조 및 배관공급업,도시가스,21700.0,127930000000.0,0.26145,3.45,7.578435483870968,82998.66131191431,4.032
000040,KR모터스,KOSPI,일반,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1109.0,21819000000.0,0.26219,0.65,40.61699008115419,4229.757046416721,10954.7
145170,노브랜드,KOSDAQ,일반,편조의복 제조업,"Knit, Woven 의류",2600.0,43961000000.0,0.26237,8.61,3.0475284615384615,9909.6695506346,
